imo_code,name,definition,format
IMO0339,"Ship reporting system entry location, landmark",Reference point to which the bearing and distance is estimated.,an..35
IMO0340,"Ship reporting system entry port, coded",A code representing the port where the ship enters the system.,an5
IMO0341,Ship reporting system entry port name,A name and country of the port where the ship enters the system.,an..256
IMO0342,"Ship reporting system exit location, latitude",The latitude (geographical coordinate) of the location of the ship when exiting the system.,an..10
IMO0343,"Ship reporting system exit location, longitude",The longitude (geographical coordinate) of the location of the ship when exiting the system.,an..11
IMO0344,"Ship reporting system exit location, date and time",The date and time when the ship is exiting the system.,an..35
IMO0345,"Ship reporting system exit location, bearing",The true bearing of the ship when exiting the system (relative location) indicated in the 360 degrees notation from true north and shall be that of the position from the landmark.,"an..3,1"
IMO0346,"Ship reporting system exit location, distance",The current distance in nautical miles of the ship from/to a clearly identified landmark when exiting the system.,"an..3,1"
IMO0347,"Ship reporting system exit location, landmark",Reference point to which the bearing and distance is estimated.,an..35
IMO0348,"Ship reporting system exit port, coded",The code representing the port where the ship exits the system.,an5
IMO0349,"Ship reporting system exit port, name",A name and country of the port where the ship exits the system.,an..256
IMO0350,Pilot onboard indicator,A “yes/no” indicator whether the ship has a deep sea or local pilot onboard.,n1
IMO0351,Voyage waypoint sequence number,"A sequence number indicating the order of the referenced voyage waypoint, in the list of turn points on route within a ship reporting system area.",n..5
IMO0352,"Voyage waypoint, latitude","Location for ship planned voyage waypoint within a ship reporting system area, latitude.",an..10
IMO0353,"Voyage waypoint, longitude","Location for ship planned voyage waypoint within a ship reporting system area, longitude.",an..11
IMO0354,"Voyage waypoint, date and time",Date and time for planned voyage waypoint within a ship reporting system area.,an..35
IMO0355,"Voyage track, type",The voyage track between waypoints within a ship reporting system area.,an..3
IMO0356,"Ship next report, date and time",Next reporting date and time.,an..35
IMO0357,Ship draught,Maximum ship present static draught in meters and centimeters.,"n..2,2"
IMO0358,Weather remarks,Brief details of weather and sea conditions prevailing.,an..512
IMO0359,Wind speed,The measure of wind speed.,n..3
IMO0360,Wind direction,"True direction, from where wind is blowing (or will blow), measured in degrees.",n2
IMO0361,Visibility,Horizontal visibility at surface or visibility towards the sea in meters.,n..5
IMO0362,"Precipitation, coded","A code indicating the amount of precipitation which has fallen during the period preceding the time of observation, as indicated by tR.",n3
IMO0363,State of the sea,"The condition of the sea described by the significant wave height, measured in meters.","n1,1"
IMO0364,Dangerous goods  contact name,The name of the organization from which information on dangerous goods can be obtained.,an..256
IMO0365,Dangerous goods contact mobile number,The mobile number of the organization from which information on dangerous goods can be obtained.,an..50
IMO0366,Dangerous goods contact landline number,The landline telephone number of the organization from which information on dangerous goods can be obtained.,an..50
IMO0367,Dangerous goods contact address street and number,The street and number of the organization from which information on dangerous goods can be obtained.,an..256
IMO0368,Dangerous goods contact email,The contact email address of the organization from which information on dangerous goods can be obtained.,an..50
IMO0369,"Dangerous goods contact type, coded",A code specifying the type of contact for dangerous goods.,an..3
IMO0370,"Ship reporting system remarks type, coded",A code representing the type of remark to the ship’s report.,a2
IMO0371,Ship reporting system remarks,"Any other information to the ship’s report including brief details of incident and of other ships involved either in incident, assistance or salvage.",an..512
IMO0372,Ship defects or limitations,"Brief details of defects, damage, deficiencies or other limitations.",an..256
IMO0373,"Ship defects or limitations types, coded",A code representing the type of defects or limitations.,n2
IMO0374,Ship transfer ability indicator,A “Yes/No” indicator of the ability of the ship to transfer cargo ballast/fuel.,n1
IMO0375,Waypoint name,The name of the waypoint.,an..256
IMO0376,Ship actual deadweight tonnage,The difference in tonnes between the displacement of a ship in water of a specific gravity of 1.025 at the actual draught and the lightweight of the ship.,"n..16,6"
IMO0377,Ship length overall,Maximum length of a vessel's hull over the extreme points between fore and aft of the ship.,"n..5,2"
IMO0378,Ship extreme breadth,The maximum breadth over the extreme points between port side and starboard side of the ship.,"n..5,2"
IMO0379,Ship air draught,The height from the waterline to the highest point of the ship.,"n..4,2"
IMO0380,Professional medical personnel,"The number of personnel with medical education (e.g. doctors, nurses).",n..2
IMO0381,Medically trained personnel,The number of personnel with medical training.,n..2
IMO0382,Personnel without medical training,"The number of personnel without medical training but engaged in administrative, caring or other medical tasks onboard.",n..4
IMO0383,Ship building contract date,Date when the building contract is placed between ship builder and ship owner.,an…35
IMO0384,Ship keel laying date,Date on which keel was laid or ship was at similar stage of construction.,an…35
IMO0385,Ship delivery date,Date of delivery of the ship from the ship builder to the ship owner.,an…35
IMO0386,"Ship responsibility organization type, coded",A code representing the type of organization within a Member State that has the responsibility of the ship.,a1
IMO0387,Ship in class indicator,A “yes/no” indicator whether the ship is in class of the classification society.,n1
IMO0388,Ship class entry date,Date of entry into class of the classification society.,an..35
IMO0389,"Ship classification society, coded",A code representing the classification society currently having the ship in class.,an..17
IMO0390,Ship classification society name,The name of the classification society currently having the ship in class.,an..70
IMO0391,Ship identifier assigned by classification society,Identifier assigned to the ship by the classification society.,an..25
IMO0392,"Ship class status, coded",A code representing the status of class certificate (referring to the class rules) for the ship.,a1
IMO0393,Ship class notation,Class notation(s) assigned by the classification society.,an..500
IMO0394,Ship maximum deadweight,The difference in tonnes between the displacement of a ship in water of a specific gravity of 1.025 at the draught and the lightweight of the ship.,"n..14,3"
IMO0395,"Ship company role, coded",A code providing the role of the ship company.,an..3
IMO0396,Ship company identifier,The identifier to be provided by the sender of the data when the company does not have an IMO identification number.,an..17
IMO0397,"Inspection type, coded",The code identifying the type of inspection.,an..10
IMO0398,"Inspection category, coded",The code identifying the inspection category.,a..2
IMO0399,Inspection performed date,Date of the inspection performed.,an..35
IMO0400,"Inspection performed location, coded",A code representing the place of the inspection performed.,an5
IMO0401,Inspection performed location name,The location of the place of the inspection.,an..256
IMO0402,Next inspection due date,Due date of the next inspection.,an..35
IMO0403,Next inspection range start date,Date at which the next inspection can be performed at the earliest.,an..35
IMO0404,Next inspection range end date,Date at which the next inspection should be performed at the latest.,an..35
IMO0405,"Next inspection status, coded",Status of the next inspection.,a1
IMO0406,"Inspection comment type, coded",A code categorising the comment on conclusion of the inspection.,a1
IMO0407,Inspection comment related certificate type acronyms,The certificate type acronyms to which the inspection comment applies.,an..10
IMO0408,Inspection comment issuing date,Date the inspection comment has been issued.,an..35
IMO0409,"Inspection comment issuing location, coded",A code representing the location where the inspection was undertaken which resulted in the imposition of the comment.,an5
IMO0410,Inspection comment issuing location name,The location where the inspection comment was issued.,an..256
IMO0411,Inspection comment due date,Due date for the resolution of the comment.,an..35
IMO0412,"Inspection comment expiry inspection type, coded",A code indicating the expiry inspection type. i.e : the inspection when it will be verified that the comment can be closed.,an..10
IMO0413,"Inspection comment status, coded",A code representing the status with respect to the resolution of the comment.,a1
IMO0414,Inspection comment postponed due date,Due date for the resolution of the comment following the last postponement.,an..35
IMO0415,"Inspection comment postponed expiry inspection type, coded",A code indicating the postponed expiry inspection type. i.e : the inspection when it will be verified that the comment can be closed.,an..10
IMO0416,Inspection comment reference,Reference to the code of the regulation/rule and the specific applicable chapters/paragraphs.,an..256
IMO0417,Inspection comment content,"Actual content of the comment including text, drawings, pictures, etc…",Binary object
IMO0418,"Inspection comment issuer, coded",A code indicating the issuer of the inspection comment.,a1
IMO0419,Inspection comment sequence number,A sequence number indicating the order of the comments in an inspection.,n..5
IMO0420,Inspection comment quantity,The number of comments found during the inspection.,n..8
IMO0421,"PSC MoU or regime, coded",A code identifying the relevant Port State Control Memorandum of Understanding or regime.,an..3
IMO0422,"Deficiency, coded",The code representing the deficiency found during the inspection.,an..3
IMO0423,"Actions required by inspection, coded",A code indicating the actions required by the inspection authority to resolve the deficiency.,an..3
IMO0424,Inspection comment resolved date,The date the inspection comment  was closed.,an..35
IMO0425,Detention indicator,A “yes/no” indicator whether the ship was detained as a result of the inspection.,n1
IMO0426,Detention release date,The date the ship was released from detention.,an..35
IMO0427,Agreed actions,Agreed actions as per rectification action plan.,an..256
IMO0428,Ship banned indicator,A “yes/no” indicator whether the ship has been banned from a specific area.,n1
IMO0429,Ship ban issuer name,The port State/MOU that has issued the ban to the ship.,an..35
IMO0430,Ship ban start date,The date the ship ban started.,an..35
IMO0431,Ship ban end date,The date the ship ban ends.,an..35
IMO0432,Ship ban area,The area where the ship is banned to sail.,an..256
IMO0433,Dangerous goods marine pollutant volume,The volume of the referenced marine pollutant properties for the referenced dangerous goods.,"n..16,6"
IMO0434,Cargo loss volume - estimated,The estimated volume of the referenced cargo that is lost.,"n..16,6"
IMO0435,Cargo loss weight - estimated,The estimated weight of the referenced cargo lost per dangerous goods or marine pollutants name.,"n..16,6"
IMO0436,Cargo loss quantity - estimated,The estimated quantity (number of packages) of the referenced dangerous goods lost per dangerous goods or marine pollutant name.,n..8
IMO0437,Cargo loss condition - estimated,The estimated likely condition of the lost cargo.,an..512
IMO0438,Cargo floating indicator,"A ""yes/no"" indicator whether lost cargo is floating.",n1
IMO0439,Cargo loss continuing indicator,"A ""yes/no"" indicator whether loss is continuing.",n1
IMO0440,Cargo loss cause description,A description of the cause of the cargo loss.,an..512
IMO0441,"Cargo loss position, latitude",The latitude (geographical coordinate) of the location where cargo was lost overboard.,an..10
IMO0442,"Cargo loss position, longitude",The longitude (geographical coordinate) of the location where cargo was lost overboard.,an..11
IMO0443,Cargo loss date time,Date and time cargo was lost.,an..35
IMO0444,"Cargo loss marine pollutant type, coded",A code representing the type of marine pollutant.,an..3
IMO0445,Cargo loss technical name,Correct technical name of the cargo loss.,an..256
IMO0446,Cargo loss UNDG number,UNDG number of the cargo loss.,n4
IMO0447,Cargo loss movement - estimated,"The estimate of the movement of the cargo loss, giving current conditions if known.",an..512
IMO0448,Cargo loss surface area - estimated,The estimate of the surface area of the spill if possible.,an..512
IMO0449,Cargo loss remarks,Statement of any other information relevant to the cargo loss.,an..512
IMO0450,"Inspection comment expiry inspection category, coded",A code indicating the expiry inspection category.,a..2
IMO0451,"Inspection comment postponed expiry inspection category, coded",A code indicating the postponed expiry inspection category.,a..2
IMO0452,Total ballast water on board,Total physical measurement of ballast water on board including sediments in cubic metres (m3).,"n..16,6"
IMO0453,Total ballast water capacity,Maximum ballast water capacity onboard including sediments in cubic metres (m3).,"n..16,6"
IMO0454,Total number of ballast tanks on board,Total number of ballast tanks on board certified to carry ballast water.,n..3
IMO0455,Number of tanks in ballast,The number of tanks with ballast water as the ship arrives into the Arrival Port.,n..3
IMO0456,Approved ballast water management plan on board indicator,"A ""yes/no"" indicator of whether the ship is carrying an approved ballast water management plan on board.",n1
IMO0457,Implementation of ballast water management plan indicator,"A ""yes/no"" indicator whether the ship management plan is implemented.",n1
IMO0458,Ballast water record book on board indicator,"A ‘’yes/no"" indicator of whether the ship is carrying out the ballast water record book on board.",n1
IMO0459,Ballast water management system used,"Description of the ballast water management system used. If any, provide manufacturer and model.",an..512
IMO0460,"Reason(s) why no ballast water management was conducted, coded",The explanation of why any ballast tanks or holds to be discharged are not managed in accordance with B-3.,an..3
IMO0461,The starting date required to meet regulation D-2,"The date from which the ship is required to comply with regulation D-2 of the Ballast Water Management Convention, 2004.",an..35
IMO0462,Total number of ballast tanks and holds to be discharged,The total number of ballast tanks and holds to be discharged.,n..3
IMO0463,"Number of ballast tanks and holds to be discharged, D-1",The number of tanks and holds to be discharged that were managed in accordance with regulation D-1 (BW exchange standard).,n..3
IMO0464,"Number of ballast tanks and holds to be discharged, D-2",The number of ballast tanks and holds to be discharged that were managed in accordance with regulation D-2 (BW performance standard).,n..3
IMO0465,"Number of ballast tanks and holds to be discharged, not managed",The number of ballast tanks and holds to be discharged that have not been managed.,n..3
IMO0466,"Ballast tank or hold type, coded",Type of ballast tank containing ballast water.,an..2
IMO0467,Ballast tank capacity,A measure of the maximum tank/hold capacity in cubic meters.,"n..16,6"
IMO0468,Date of ballast water uptake,Date of ballast water uptake into tanks/holds before ballast water management practices.,an..35
IMO0469,"Location of ballast water uptake, latitude",The latitude (geographical coordinate) of the location of  ballast water uptake in to tanks/holds before ballast water management practices.,an..10
IMO0470,"Location ballast water uptake, longitude",The longitude (geographical coordinate) of the location of  ballast water uptake in to tanks/holds before ballast water management practices.,an..11
IMO0471,"Ballast water uptake port, coded",The location of the port of the ballast water uptake.,an5
IMO0472,Ballast water uptake port name,The name and country of the port of the ballast water uptake.,an..256
IMO0473,Current volume in ballast tank,Current volume in the ballast tanks/holds after the last uptake of ballast water in cubic metres (m3).,"n..16,6"
IMO0474,"Method(s) of ballast water management, coded",The method of ballast water management.,an..2
IMO0475,Other management method,Any other ballast water management method used.,an…256
IMO0476,Date implementing ballast water management,Date implementing ballast water management.,an..35
IMO0477,"Location where ballast water exchange or flushing started, latitude",The latitude (geographical coordinate) of the location where ballast water exchange or flushing began.,an..10
IMO0478,"Location where ballast water exchange or flushing started, longitude",The longitude (geographical coordinate) of the location where ballast water exchange or flushing began.,an..11
IMO0479,"Location where ballast water exchange or flushing ended, latitude",The latitude (geographical coordinate) of the location where ballast water exchange or flushing ended.,an..10
IMO0480,"Location where ballast water exchange or flushing ended, longitude",The longitude (geographical coordinate) of the location where ballast water exchange or flushing ended.,an..11
IMO0481,Volume ballast water exchanged,The volume of ballast water exchanged in cubic metres.,"n..16,6"
IMO0482,Exchange percentage of ballast water exchanged,"The percentage of ballast water exchanged, calculated by dividing the total volume of water moved by ""Sequential"" or ""Flow-through"" or used in ""Saltwater flushing"" by the capacity of ballast tank or hold, then multiply by 100.","n..4,2"
IMO0483,Minimum depth of water where ballast water exchange took place,"The minimum depth of water where the ballast water exchange took place, in metres.",n..4
IMO0484,Ballast water managed salinity,A measure of the salinity of water used for ballast water management practices in Practical Salinity Units (PSU).,"n..3,3"
IMO0485,Date of ballast water discharge,Date of the proposed ballast water discharge.,an..35
IMO0487,"Location ballast water discharge, latitude",The latitude (geographical coordinate) of the location of discharging ballast water.,an..10
IMO0488,"Location ballast water discharge, longitude",The longitude (geographical coordinate) of the proposed location of discharging ballast water.,an..11
IMO0489,"Port of discharge of ballast water, coded",The proposed port of discharge of ballast water.,an5
IMO0490,Port of discharge of ballast water name,The name and country of the proposed port of discharge of ballast water,an..256
IMO0491,Ballast water discharge volume,The volume of the proposed ballast water discharge.,"n..16,6"
IMO0492,Ballast water discharged salinity,A measure of the salinity of the proposed ballast water discharge in Practical Salinity Units (PSU).,"n..3,3"
IMO0493,Port reception facility provider,The name of the port reception facility provider.,an..70
IMO0494,Treatment facility provider,"The name of the treatment facility provider, if different from the port reception facility provider.",an..70
IMO0495,"Waste delivery date and time, from",Date and time when the waste delivery started.,an..35
IMO0496,"Waste delivery date and time, to",Date and time when the waste delivery was completed.,an..35
IMO0497,Amount of waste received volume,The volume of waste received (m3).,"n..16,6"
IMO0498,"Equipment type and size, coded","Code specifying the characteristics, i.e. size and type of transport equipment.",an..10
IMO0499,Gross mass verification number,The identification number of verification for the verified gross mass.,an..70
IMO0500,Gross mass verified date,Date and time of determining the verified gross mass of container.,an..35
IMO0501,"Gross mass verifying country, coded",The code of the country where the verified gross mass is determined.,a2
IMO0502,Gross mass verifying party identifier,The identifier of the gross mass verifying party.,an..17
IMO0503,Gross mass verifying party name,The name of the responsible shipper or third party verifying the gross mass.,an..70
IMO0504,Gross mass verifying person family name,The family name of person in charge of verifying the gross mass authorized by the shipper.,an.. 70
IMO0505,"VGM measuring method, coded",A code representing the Gross Mass Verifying Method.,an1
IMO0506,Verified Gross Mass,The Verified Gross Mass of the container (VGM).,"n..16,6"
IMO0507,VGM document  issue date and time,The date and time of issuing the document for verified gross mass.,an..35
IMO0508,Booking reference number,Booking reference assigned by carrier.,an..70
IMO0509,Seal identification number,The identification number of the seal affixed to the transport equipment.,an..35
IMO0510,"Authenticator, country coded",A code representing the country address of the referenced authenticator.,a2
IMO0511,Authenticator Street and number,The street and number of the referenced authenticator.,an..256
IMO0512,Authenticator city,The city of the referenced authenticator.,an..35
IMO0513,Authenticator postcode,An alphanumerical code representing the postal area of the referenced  authenticator.,an..9
IMO0515,Authenticator email,The email address for the referenced agent at port.,an..50
IMO0516,Authenticator landline number,The landline telephone number for the referenced agent at port.,an..50
IMO0517,Authenticator mobile number,The mobile number for the referenced agent at port.,an..50
IMO0518,Date and time of arrival at next port of call - estimated,The date and time the ship is estimated to arrive at the next port of call.,an..35
IMO0519,Person onboard indicator,A “yes/no” indicator whether the reported person is onboard at the time of reporting.,n1
IMO0520,Person visa issue date,The date when the referenced person’s visa was issued.,an..35
IMO0521,"Person visa issue location, name",The name of the location where the referenced person's visa was issued.,an...256
IMO0522,Person port of disembarkation date and time - planned,Date and time when the referenced person plans to disembark the ship.,an..35
IMO0523,Person landline number,The landline telephone number for the referenced person.,an..50
IMO0524,Person mobile number,The mobile number for the referenced person.,an..50
IMO0525,Person email,The email address for the referenced person.,an..50
IMO0526,Cabin number,The number of the cabin or room onboard.,an..17
IMO0527,Unique travelling booking number,Unique number to identify a specific booking related to one or more passengers.,an..17
IMO0528,Unique passenger reference number,Passenger's Unique Reference Number (UNR) in relation to the travel booking.,an..17
IMO0529,Gross mass verifying party email,The email address for the referenced gross mass verifying party.,an..50
IMO0530,Gross mass verifying party landline number,The landline telephone number for the referenced gross mass verifying party.,an..50
IMO0531,Gross mass verifying party mobile number,The mobile number for the referenced gross mass verifying party.,an..50
IMO0532,Gross mass verifying party country code,A code representing the country address of the referenced gross mass verifying party.,a2
IMO0533,Gross mass verifying party street and number,The street and number of the referenced gross mass verifying party.,an..256
IMO0534,Gross mass verifying party city,The city of the referenced gross mass verifying party.,an..35
IMO0535,Gross mass verifying party postcode,An alphanumerical code representing the postal area of the referenced verifying party.,an..9
IMO0536,Trade service identifier,The carrier internal trade service identifier of the service.,an..17
IMO0537,Distance to destination,The remaining distance in nautical miles reported by the vessel to a specific destination.,n..5
IMO0538,Average speed,The average speed of the ship at the time of reporting.,"n..4,1"
IMO0540,Date and time to location in port - actual,The actual date and time the ship actually reached the specified location in port.,an..35
IMO0541,Date and time to location in port - estimated,The date and time the ship estimates to reach the specified location in port.,an..35
IMO0542,Date and time to location in port - requested,The date and time the ship is requested to reach the specified location in port.,an..35
IMO0543,Date and time to location in port - planned,The date and time the ship plans to reach the specified location in port.,an..35
IMO0544,"Location in port, latitude",The latitude (geographical coordinate) of an entity.,an..10
IMO0545,"Location in port, longitude",The longitude (geographical coordinate) of an entity.,an..11
IMO0546,"Anchorage, coded",A code used to identify an anchorage. An anchorage is defined as an area in which vessels anchor or may anchor. (IHO Concept register).,To be defined
IMO0547,"Terminal, coded",A code used to identify a terminal. A terminal covers that area on shore which provides buildings and constructions for the transfer of cargo or passengers from and to ships. (IHO Concept register).,To be defined
IMO0548,"Berth, coded","A code used to identify a berth. A berth is defined as a place, generally named or numbered, where a vessel may moor or anchor. (IHO Concept register).",To be defined
IMO0549,Other control action taken,Other control action If ballast water management were not conducted.,an..256
IMO0551,Other ship identifier,"Additional numbers or letters that may be used to identify the ship, as an alternative or in addition to the Ship call sign, the MMSI number or the IMO number.",an..25
IMO0552,"Ship date of construction, Ballast Water Management Convention",The date of construction as defined in regulation A-1.4 of the Ballast Water Management Convention.,an..35
IMO0553,Total number of ballast holds on board,Total number of cargo holds on board that are designed to carry ballast water.,n..3
IMO0554,Number of holds in ballast,The number of holds with ballast water as ship arrives into the Arrival Port.,n..3
IMO0556,"Principal ballast water management method(s) of the ship, coded",A code representing the principal ballast water management method(s) employed on this ship as stated on the Ballast Water Management certificate.,an..2
IMO0557,Principal ballast water management method of the ship description,"A description of the principal management method(s) employed on this ship, when required.",an..256
IMO0558,"Number of ballast tanks and holds to be discharged, both D-1 and D-2",The number of ballast tanks and holds to be discharged that were managed in accordance with both regulations D-1 and D-2.,n..3
IMO0559,"Number of ballast tanks and holds to be discharged, other method",The number of ballast tanks and holds to be discharged that were managed using another method.,n..3
IMO0560,"Number of ballast tanks and holds to be discharged, other method – description",The description of the ballast water management method for tanks and holds to be discharged if other than according to D-1 and/or D-2.,an..256
IMO0561,"Number of ballast tanks and holds to be discharged, other method –reason",The reason that an other ballast water management method was used for the tanks and holds.,n..3
IMO0562,"Reason(s) why no ballast water management was conducted, description",The description of the reason why any ballast tanks or holds are not managed in accordance with B-3.,an..256
IMO0563,Ballast water management system manufacturer name,The name of the  manufacturer of the ballast water management system.,an..70
IMO0564,Ballast water management system model name,The name of the model of the ballast water management system.,an..70
IMO0565,Ballast water management system last bypass date,The date of the last bypass of the ballast water management system.,an..35
IMO0566,Ballast water management system operational indicator,"A ""yes/no"" indicator whether the ship ballast water management system is fully operational.",n1
IMO0567,"Ballast water management plan contingency measure(s), coded",A code indicating the contingency measure(s) included in the Ballast Water Management Plan.,an..2
IMO0568,Ballast water management plan contingency measures description,A description of the contingency measure(s) included in the Ballast Water Management Plan.,an..256
IMO0569,Ballast water management plan contingency measure(s) deployed indicator,"A  ""yes/no"" indicator on whether any contingency measure(s)  in the Ballast Water Management Plan have been deployed.",n1
IMO0570,Ballast water ship coupling interface indicator,"A  ""yes/no"" indicator on whether the ship has an interface available for coupling to a ballast water reception facility.",n1
IMO0571,Last survey date,The date of the last survey.,an..35
IMO0572,Surveying authority name,Name of the authority for the last survey.,an..255
IMO0573,Ballast tank and hold identifier,Name or identification number of the ballast tank or hold.,an..25
IMO0574,Agent P.O. Box,The post office box of the referenced agent at port.,an..256
IMO0575,Ship company P.O. Box,The post office box of the referenced ship company.,an..256
IMO0576,Person home address P.O. Box,The post office box of the referenced person's home address.,an..256
IMO0578,Authenticator P.O. Box,The post office box of the referenced  authenticator.,an..256
IMO0579,Gross mass verifying party P.O. Box,The post office box of the referenced gross mass verifying party.,an..256
IMO0580,Master given name,The given name of the person in charge of the ship.,an..70
IMO0581,Agent contact given name,The agent's employee contact given name.,an..70
IMO0582,Authenticator given name,The given name of the person attesting to the validity of the transmitted information.,an..70
IMO0583,Company security officer given name,The given name of the company security officer shown in the ship security plan.,an..70
IMO0584,Service provider contact given name,The given name of the contact in the maritime service company.,an..70
IMO0585,Gross mass verifying person given name,The given name of person in charge of verifying the gross mass authorized by the shipper.,an..70
IMO0586,Crewmember performing work ashore indicator,A “yes/no” indicator whether the referenced crewmember performs work ashore.,n1
IMO0587,Vehicle carried onboard remarks,"Additional remarks on the description of the vehicle carried onboard, in addition to make, model and license plate.",an..256
IMO0588,Vehicle model,The model of the vehicle.,an..70
IMO0589,Vehicle make,The make or brand of the vehicle.,an..70
IMO0590,Vehicle license plate number,The license plate number of the vehicle.,an..35
IMO0591,Vehicle country of registration,The country of registration of the vehicle.,a2
IMO0592,Vehicle length,The length of the vehicle.,"n..5,2"
IMO0593,Vehicle height,The height of the vehicle.,"n..5,2"
IMO0594,Dangerous goods contact address P.O. Box,The post office box of the organization from which information on dangerous goods can be obtained.,an..256
IMO0595,Person embarkation date and time - planned,The date and time when the person plans to embark the ship by invitation.,an..35
IMO0596,"Sanitary measures type, coded",A code representing the sanitary measure applied.,an..3
IMO0597,"Event type, coded","A code representing the event which triggers the reporting (e.g. Noon Report, Arrival, Departure). Event may vary according to contract.",an..4
IMO0598,"Operation type, coded","A code representing the type of operation being undertaken for the duration of the report (e.g. sailing, in port loading, at anchor).",an..4
IMO0599,Operation description,Additional description of the operation.,an..512
IMO0600,Elapsed time,The duration in hours since previous event report.,"n..16,6"
IMO0601,"Ship position when reporting, latitude",The latitude (geographical coordinate) of the location of the ship at the time of reporting.,an..10
IMO0602,"Ship position when reporting, longitude",The longitude (geographical coordinate) of the location of the ship at the time of reporting.,an..11
IMO0603,Ship reporting date time,The date and time when the reporting event occurred.,an..35
IMO0604,Voyage remarks,Remarks from the ship or any other information relevant to the voyage.,an..512
IMO0605,Voyage leg identifier,The identifier used to uniquely describe a leg of a voyage. The identifier can be a reference to features in another electronic dataset such as a route plan.,an..35
IMO0606,Voyage leg remarks,Remarks from the ship or any other information relevant to the voyage leg.,an..512
IMO0607,Reason for ship deviation from planned voyage description,A description why the ship has deviated from the planned voyage.,an..512
IMO0608,"Ship position deviation, latitude",The latitude (geographical coordinate) of the location of the ship at the time of deviation.,an..10
IMO0609,"Ship position deviation, longitude",The longitude (geographical coordinate) of the location of the ship at the time of deviation.,an..11
IMO0610,Ship deviation start date time,The date and time when the ship start its deviation from planned voyage.,an..35
IMO0611,Ship deviation stop date time,The date and time when the ship stop its deviation.,
IMO0612,Distance through water,"The distance traveled within the time elapsed, through water measured in nautical miles (includes distance sailed in bad weather or through ice if any).","n..4,1"
IMO0613,Distance over ground,"The distance traveled within the time elapsed, over ground measured in nautical miles.","n..4,1"
IMO0614,Distance sailed in ice,The distance sailed within the time elapsed when navigating through ice  measured in nautical miles.,"n..4,1"
IMO0615,Distance to next port,"The remaining sailing distance until next port (over ground), measured in nautical miles.","n..4,1"
IMO0616,Speed through water,"The average speed through water, measuredin knots.","n..4,1"
IMO0617,Speed propeller,The average of each propeller(s) speed measured in Revolutions Per Minute (RPM).,"n..4,1"
IMO0618,Speed projected,The intended speed for the next 24 hours measured in knots.,"n..4,1"
IMO0619,Speed order,The speed specified by the charter party measured in knots.,"n..4,1"
IMO0620,Ship true heading,"The direction in which the ship is pointing with respect to true north, expressed in degrees.","n..4,1"
IMO0621,Draught forward,"The vertical distance in metres between the waterline and the bottom of the hull, with the thickness of the hull included from forward.","n..4,2"
IMO0622,Draught aft,"The vertical distance in metres between the waterline and the bottom of the hull, with the thickness of the hull included from aft.","n..4,2"
IMO0623,Bad weather hours,The  duration in hours during which the weather conditions are unfavorable or challenging in sea state above Beaufort scale 4 (manual observation).,n..3
IMO0624,Bad weather distance,The number of nautical miles experienced when sea state above Beaufort scale 4 (manual observation).,n..3
IMO0625,Wind force,"Force of wind on Beaufort Scale as measured by onboard ship weather station, over the time of reporting (scale from 0-12).",n..2
IMO0626,"Wind direction, estimated, relative","Best estimate of the direction of wind relative to the ship, measured in degrees, made by the seafarer onboard.","n..3,1"
IMO0627,"Wind direction, estimated, true","Best estimate of the direction of wind, measured in degrees true, made by the seafarer onboard.","n..3,1"
IMO0628,Air temperature,The measure of air temperature in degrees Celsius at ship location.,"n..3,1"
IMO0629,Atmospheric pressure,The measure of the barometric pressure of the ship environment in atmosphere or bars.,"n..4,1"
IMO0629,Atmospheric pressure,The measure of the barometric pressure of the ship environment in atmosphere or bars.,"n..4,1"
IMO0630,"Sea direction, relative","Best estimate of the direction of sea relative to the ship, in degrees, made by the seafarer onboard.",n..3
IMO0631,"Sea direction, true","Best estimate of the direction of sea, in degrees true, made by the seafarer onboard.",n..3
IMO0632,Sea height,Recorded sea height in metres as per weather provider.,n..2
IMO0633,"Swell direction, relative","Best estimate of the direction of swell relative to the ship, in degrees, made by the seafarer onboard.",n..3
IMO0634,"Swell direction, true","Best estimate of the direction of swell, in degrees true, made by the seafarer onboard.",n..3
IMO0635,Swell height,Recorded swell height in metres as per weather provider.,n..2
IMO0636,"Ocean current direction, relative","Best estimate of the direction of ocean current relative to the ship, in degrees, made by the seafarer onboard.",n..3
IMO0637,"Ocean current direction, true","Best estimate of the direction of ocean current, in degrees true, made by the seafarer onboard.",n..3
IMO0638,"Ocean current direction, weather provider","Direction of ocean current, in degrees, as per weather provider, if different.",n..2
IMO0639,Fresh water bunkered,"Fresh water bunkered onboard, measured in metric tons.","n..16,6"
IMO0640,Fresh water produced,"Fresh water produced onboard by running the Fresh Water Generator, measured in metric tons.","n..16,6"
IMO0641,Fresh water consumed,"Fresh drinking water consumed onboard, measured in metric tons.","n..16,6"
IMO0642,Technical water produced,"Technical water (< 15 ppm) produced onboard, measured in metric tons.","n..16,6"
IMO0643,Technical water consumed,"Technical water (< 15 ppm) consumed onboard, measured in metric tons.","n..16,6"
IMO0644,Wash water consumed,"Wash water (for exhaust gas cleaning systems) consumed onboard, measured in metric tons.","n..16,6"
IMO0645,Fresh water remaining onboard,"Fresh drinking water remaining onboard, measured in metric tons.","n..16,6"
